"Active payment methods:","Verfügbare Zahlungsmittel:"
"Allowed Customer Group","Erlaubte Kundengruppen"
"Amount","Betrag"
"An error occurred during the payment process","Während des Bezahlprozesses ist ein Fehler aufgetreten."
"Bank account owner","Kontoinhaber"
"Billing/Shipping Address must be identical","Zahlungs- und Versandadresse müssen identisch sein."
"Choose your bank...","Wählen Sie bitte Ihre Bank."
"Configuration test ok","Konfigurationstest OK"
"Configuration","Konfiguration"
"consent","Zustimmung"
"Consumer e-mail address","E-mail-Adresse des Konsumenten"
"Consumer wallet ID","Wallet-ID des Konsumenten"
"Contact Form","Kontaktformular"
"Create order before payment","Immer"
"Create order after payment","Nur für erfolgreiche Zahlungen"
"Credit number","Gutschriftsnummer"
"Customer statement","Shop-Referenz im Buchunstext"
"Currency","Währung"
"Demo","Demo"
"Desktop","Desktop"
"Existing order","Bestehender Auftrag"
"Existing order data","Daten zum bestehenden Auftrag"
"Foreign payment methods:","Zahlungsmittel von Drittanbietern:"
"fraud attemmpt detected, cart has been modified during checkout!","Ein Betrugsversuch wurde festgestellt. Der Warenkorb wurde während des Bezahlvorganges verändert."
"Fund Transfer","Auszahlung"
"Fund transfer type","Auszahlungsart"
"Fund transfer submitted successfully!","Auszahlung erfolgreich durchgeführt."
"I agree that the data which are necessary for the liquidation of purchase on account and which are used to complete the identy and credit check are transmitted to payolution. My %s can be revoked at any time with effect for the future.","Mit der Übermittlung jener Daten an payolution, die für die Abwicklung des Zahlungen mit Kauf auf Rechnung und die Identitäts- und Bonitätsprüfung erforderlichen sind, bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen."
"Iframe","Iframe"
"Installed Modules:","Installierte Module:"
"Invalid fund transfer type","Ungültige Auszahlungsart"
"No order number found.","Auftragsnummer wurde nicht gefunden."
"Order with obligation to pay", "Zahlungspflichtig bestellen"
"Order description","Auftragsbeschreibung"
"Order number","Auftragsnummer"
"Order reference","Auftragsreferenz"
"Payment Methods","Zahlungsmittel"
"Please enter a valid e-mail address (reply to).","Bitte geben Sie eine gültige E-Mail-Addresse ein."
"Please enter a valid e-mail address.","Bitte geben Sie eine gültige E-Mail Addresse ein."
"Please select the fund transfer type","Bitte wählen Sie die Auszahlungsart."
"Plugin name: %product","Plugin Name: %product"
"Plugin version: %product","Plugin Version: %product"
"Popup","Pop-up"
"Product: %product","Produkt: %product"
"Production","Produktion"
Provider,Provider
"Redirect","Weiterleitung"
"Refund not allowed for this order.","Rückerstattung ist für diesen Auftrag nicht erlaubt."
"Send support request","Support-Anfrage senden"
"SEPA-CT data","SEPA-CT Daten"
"Smartphone","Smartphone"
"Source order number","Quellauftragsnummer"
"Submit Transfer","Auszahlung durchführen"
"Support request sent successfully!","Support-Anfrage erfolgreich gesendet."
"Support Request","Support-Anfrage"
"Tablet","Tablet"
"Test","Test"
"The payment authorization is pending.","Ihre Zahlung wurde vom Finanzdienstleister noch nicht bestätigt."
"The payment has been successfully completed.","Die Zahlung wurde erfolgreich abgeschlossen."
"The Customer ID has a fixed length of 7.","Die Customer-ID hat ein fixe Länge von 7 Zeichen."
"To","An"
"Version: %product","Version: %product"
"Void not possible anymore for this payment, please try cancel instead!","Das Aufheben der Authorisierung ist nicht mehr möglich."
"Qenta Checkout Page Fund Transfer","Qenta Checkout Page Auszahlung"
"Qenta Checkout Page Credit Card - Mail Order / Telephone Order","Qenta Checkout Page Kreditkarte - Post-/Telefonbestellung"
"Qenta Checkout Page Credit Card","Qenta Checkout Page Kreditkarte"
"Qenta Checkout Page ePay.bg","Qenta Checkout Page ePay.bg"
"Qenta Checkout Page eps Online-Überweisung","Qenta Checkout Page eps-Überweisung"
"Qenta Checkout Page giropay","Qenta Checkout Page giropay"
"Qenta Checkout Page iDEAL","Qenta Checkout Page iDEAL"
"Qenta Checkout Page Installment","Qenta Checkout Page Ratenzahlung"
"Qenta Checkout Page Invoice","Qenta Checkout Page Rechnung"
"Qenta Checkout Page Maestro SecureCode","Qenta Checkout Page Maestro SecureCode"
"Qenta Checkout Page My Voucher","Qenta Checkout Page Mein Gutschein"
"Qenta Checkout Page PayPal","Qenta Checkout Page PayPal"
"Qenta Checkout Page paysafecard","Qenta Checkout Page paysafecard"
"Qenta Checkout Page Przelewy24","Qenta Checkout Page Przelewy24"
"Qenta Checkout Page Select","Qenta Checkout Page Zahlungsmittelauswahl"
"Qenta Checkout Page SEPA Direct Debit","Qenta Checkout Page SEPA Lastschrift"
"Qenta Checkout Page Online bank transfer.","Qenta Checkout Page Sofort."
"Qenta Checkout Page TatraPay","Qenta Checkout Page TatraPay"
"Qenta Checkout Page Fund Transfer","Qenta Checkout Page Auszahlung"
"Qenta Checkout Page Support Request","Qenta Checkout Page Support-Anfrage"
"Qenta Checkout Page Support","Qenta Checkout Page Support"
"You will be redirected to Qenta Checkout Page when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Qenta weitergeleitet."
"Your e-mail address","Ihre E-Mail-Adresse"
"Your message","Ihre Nachricht"
"Your order will be processed as soon as we receive the payment confirmation from your bank.","Ihre Bestellung wird vearbeitet, sobald wir die Zahlungsbestätigung Ihrer Bank erhalten haben."
"You have canceled the payment process!","Der Bezahlprozess wurde abgebrochen."
"You will now be redirected", "Sie werden nun weitergeleitet."
"If you are not redirected, please click", "Falls Sie nicht weitergeleitet werden, klicken Sie bitte"
